raceId,driverId,constructorId,number,grid,position,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
Bahrain Grand Prix,alonso,ferrari,8,3,1,25,49,1:39:20.396,5960396,45,1,1:58.287,191.706,Finished
Bahrain Grand Prix,massa,ferrari,7,2,2,18,49,+16.099,5976495,38,5,1:59.732,189.392,Finished
Bahrain Grand Prix,hamilton,mclaren,2,4,3,15,49,+23.182,5983578,42,4,1:59.560,189.665,Finished
Bahrain Grand Prix,vettel,red_bull,5,1,4,12,49,+38.799,5999195,32,12,2:00.218,188.627,Finished
Bahrain Grand Prix,rosberg,mercedes,4,5,5,10,49,+40.213,6000609,45,13,2:00.236,188.599,Finished
Bahrain Grand Prix,michael_schumacher,mercedes,3,7,6,8,49,+44.163,6004559,45,11,2:00.204,188.649,Finished
Bahrain Grand Prix,button,mclaren,1,8,7,6,49,+45.280,6005676,45,9,1:59.970,189.017,Finished
Bahrain Grand Prix,webber,red_bull,6,6,8,4,49,+46.360,6006756,45,3,1:59.487,189.781,Finished
Bahrain Grand Prix,liuzzi,force_india,15,12,9,2,49,+53.008,6013404,39,7,1:59.906,189.118,Finished
Bahrain Grand Prix,barrichello,williams,9,11,10,1,49,+1:02.489,6022885,47,6,1:59.833,189.233,Finished
Bahrain Grand Prix,kubica,renault,11,9,11,0,49,+1:09.093,6029489,33,14,2:00.474,188.226,Finished
Bahrain Grand Prix,sutil,force_india,14,10,12,0,49,+1:22.958,6043354,49,2,1:59.393,189.930,Finished
Bahrain Grand Prix,alguersuari,toro_rosso,17,18,13,0,49,+1:32.656,6053052,28,8,1:59.964,189.026,Finished
Bahrain Grand Prix,hulkenberg,williams,10,13,14,0,48,,,34,15,2:01.401,186.789,+1 Lap
Bahrain Grand Prix,kovalainen,lotus_racing,19,21,15,0,47,,,47,17,2:02.701,184.810,+2 Laps
Bahrain Grand Prix,buemi,toro_rosso,16,15,16,0,46,,,41,10,2:00.080,188.844,Electrical
Bahrain Grand Prix,trulli,lotus_racing,18,20,17,0,46,,,34,18,2:02.930,184.465,Hydraulics
Bahrain Grand Prix,rosa,sauber,22,14,18,0,28,,,27,16,2:01.650,186.406,Hydraulics
Bahrain Grand Prix,bruno_senna,hrt,21,23,19,0,17,,,14,22,2:09.127,175.613,Overheating
Bahrain Grand Prix,glock,virgin,24,19,20,0,16,,,11,21,2:07.062,178.467,Gearbox
Bahrain Grand Prix,petrov,renault,12,17,21,0,13,,,7,19,2:04.307,182.422,Suspension
Bahrain Grand Prix,kobayashi,sauber,23,16,22,0,11,,,4,20,2:05.044,181.347,Hydraulics
Bahrain Grand Prix,grassi,virgin,25,22,23,0,2,,,2,23,2:09.361,175.295,Hydraulics
Bahrain Grand Prix,chandhok,hrt,20,24,24,0,1,,,,,,,Accident
Australian Grand Prix,vettel,red_bull,1,1,1,25,58,1:29:30.259,5370259,44,4,1:29.844,212.488,Finished
Australian Grand Prix,hamilton,mclaren,3,2,2,18,58,+22.297,5392556,41,8,1:30.314,211.382,Finished
Australian Grand Prix,petrov,renault,10,6,3,15,58,+30.560,5400819,55,7,1:30.064,211.969,Finished
Australian Grand Prix,alonso,ferrari,5,5,4,12,58,+31.772,5402031,49,2,1:29.487,213.336,Finished
Australian Grand Prix,webber,red_bull,2,3,5,10,58,+38.171,5408430,50,3,1:29.600,213.066,Finished
Australian Grand Prix,button,mclaren,4,4,6,8,58,+54.304,5424563,49,5,1:29.883,212.396,Finished
Australian Grand Prix,massa,ferrari,6,8,7,6,58,+1:25.186,5455445,55,1,1:28.947,214.631,Finished
Australian Grand Prix,buemi,toro_rosso,18,10,8,4,57,,,44,11,1:30.836,210.167,+1 Lap
Australian Grand Prix,sutil,force_india,14,16,9,2,57,,,55,13,1:31.526,208.583,+1 Lap
Australian Grand Prix,resta,force_india,15,14,10,1,57,,,40,14,1:31.941,207.641,+1 Lap
Australian Grand Prix,alguersuari,toro_rosso,19,12,11,0,57,,,41,10,1:30.467,211.025,+1 Lap
Australian Grand Prix,heidfeld,renault,9,18,12,0,57,,,43,15,1:32.377,206.661,+1 Lap
Australian Grand Prix,trulli,lotus_racing,21,20,13,0,56,,,52,16,1:32.550,206.275,+2 Laps
Australian Grand Prix,ambrosio,virgin,25,22,14,0,54,,,44,19,1:34.523,201.969,+4 Laps
Australian Grand Prix,glock,virgin,24,21,15,0,49,,,48,22,1:35.789,199.300,+9 Laps
Australian Grand Prix,barrichello,williams,11,17,16,0,48,,,47,12,1:31.404,208.861,Transmission
Australian Grand Prix,rosberg,mercedes,8,7,17,0,22,,,21,17,1:33.503,204.173,Collision
Australian Grand Prix,kovalainen,lotus_racing,20,19,18,0,19,,,19,20,1:34.918,201.129,Water leak
Australian Grand Prix,michael_schumacher,mercedes,7,11,19,0,19,,,13,21,1:35.319,200.283,Collision
Australian Grand Prix,maldonado,williams,12,15,20,0,9,,,7,18,1:34.102,202.873,Transmission
Australian Grand Prix,kobayashi,sauber,16,9,21,0,58,,,51,9,1:30.384,211.218,Disqualified
Australian Grand Prix,perez,sauber,17,13,22,0,58,,,39,6,1:29.962,212.209,Disqualified
Australian Grand Prix,liuzzi,hrt,23,0,23,0,0,,,,,,,Did not qualify
Australian Grand Prix,karthikeyan,hrt,22,0,24,0,0,,,,,,,Did not qualify
Australian Grand Prix,button,mclaren,3,2,1,25,58,1:34:09.565,5649565,56,1,1:29.187,214.053,Finished
Australian Grand Prix,vettel,red_bull,1,6,2,18,58,+2.139,5651704,57,2,1:29.417,213.503,Finished
Australian Grand Prix,hamilton,mclaren,4,1,3,15,58,+4.075,5653640,57,4,1:29.538,213.214,Finished
Australian Grand Prix,webber,red_bull,2,5,4,12,58,+4.547,5654112,57,3,1:29.438,213.452,Finished
Australian Grand Prix,alonso,ferrari,5,12,5,10,58,+21.565,5671130,52,7,1:30.277,211.469,Finished
Australian Grand Prix,kobayashi,sauber,14,13,6,8,58,+36.766,5686331,55,10,1:30.620,210.668,Finished
Australian Grand Prix,raikkonen,lotus_f1,9,17,7,6,58,+38.014,5687579,50,11,1:30.759,210.346,Finished
Australian Grand Prix,perez,sauber,15,22,8,4,58,+39.458,5689023,46,12,1:30.843,210.151,Finished
Australian Grand Prix,ricciardo,toro_rosso,16,10,9,2,58,+39.556,5689121,53,8,1:30.592,210.733,Finished
Australian Grand Prix,resta,force_india,11,15,10,1,58,+39.737,5689302,57,9,1:30.605,210.703,Finished
Australian Grand Prix,vergne,toro_rosso,17,11,11,0,58,+39.848,5689413,52,6,1:30.274,211.476,Finished
Australian Grand Prix,rosberg,mercedes,8,7,12,0,58,+57.642,5707207,53,14,1:30.931,209.948,Finished
Australian Grand Prix,maldonado,williams,18,8,13,0,57,,,53,5,1:30.254,211.523,Accident
Australian Grand Prix,glock,marussia,24,20,14,0,57,,,43,19,1:34.253,202.548,+1 Lap
Australian Grand Prix,pic,marussia,25,21,15,0,53,,,45,20,1:35.011,200.932,+5 Laps
Australian Grand Prix,bruno_senna,williams,19,14,16,0,52,,,49,13,1:30.855,210.123,Collision
Australian Grand Prix,massa,ferrari,6,16,17,0,46,,,46,15,1:31.940,207.644,Collision
Australian Grand Prix,kovalainen,caterham,20,18,18,0,38,,,26,17,1:33.693,203.759,Suspension
Australian Grand Prix,petrov,caterham,21,19,19,0,34,,,27,16,1:33.214,204.806,Steering
Australian Grand Prix,michael_schumacher,mercedes,7,4,20,0,10,,,4,18,1:34.021,203.048,Gearbox
Australian Grand Prix,grosjean,lotus_f1,10,3,21,0,1,,,,,,,Collision
Australian Grand Prix,hulkenberg,force_india,12,9,22,0,0,,,,,,,Collision
Australian Grand Prix,rosa,hrt,22,0,23,0,0,,,,,,,Did not qualify
Australian Grand Prix,karthikeyan,hrt,23,0,24,0,0,,,,,,,Did not qualify
Australian Grand Prix,raikkonen,lotus_f1,7,7,1,25,58,1:30:03.225,5403225,56,1,1:29.274,213.845,Finished
Australian Grand Prix,alonso,ferrari,3,5,2,18,58,+12.451,5415676,53,3,1:29.560,213.162,Finished
Australian Grand Prix,vettel,red_bull,1,1,3,15,58,+22.346,5425571,42,10,1:30.409,211.160,Finished
Australian Grand Prix,massa,ferrari,4,4,4,12,58,+33.577,5436802,38,8,1:30.239,211.558,Finished
Australian Grand Prix,hamilton,mercedes,10,3,5,10,58,+45.561,5448786,45,5,1:29.759,212.689,Finished
Australian Grand Prix,webber,red_bull,2,2,6,8,58,+46.800,5450025,45,4,1:29.732,212.753,Finished
Australian Grand Prix,sutil,force_india,15,12,7,6,58,+1:05.068,5468293,49,13,1:30.710,210.459,Finished
Australian Grand Prix,resta,force_india,14,9,8,4,58,+1:08.449,5471674,56,15,1:30.894,210.033,Finished
Australian Grand Prix,button,mclaren,5,10,9,2,58,+1:21.630,5484855,41,7,1:30.198,211.654,Finished
Australian Grand Prix,grosjean,lotus_f1,8,8,10,1,58,+1:22.759,5485984,41,9,1:30.395,211.193,Finished
Australian Grand Prix,perez,mclaren,6,15,11,0,58,+1:23.367,5486592,46,6,1:29.926,212.294,Finished
Australian Grand Prix,vergne,toro_rosso,18,13,12,0,58,+1:23.857,5487082,50,2,1:29.498,213.309,Finished
Australian Grand Prix,gutierrez,sauber,12,18,13,0,57,,,32,16,1:31.415,208.836,+1 Lap
Australian Grand Prix,bottas,williams,17,16,14,0,57,,,42,12,1:30.652,210.594,+1 Lap
Australian Grand Prix,jules_bianchi,marussia,22,19,15,0,57,,,52,11,1:30.454,211.055,+1 Lap
Australian Grand Prix,pic,caterham,20,22,16,0,56,,,55,19,1:32.261,206.921,+2 Laps
Australian Grand Prix,chilton,marussia,23,20,17,0,56,,,49,17,1:32.210,207.036,+2 Laps
Australian Grand Prix,garde,caterham,21,21,18,0,56,,,39,20,1:32.636,206.084,+2 Laps
Australian Grand Prix,ricciardo,toro_rosso,19,14,19,0,39,,,33,14,1:30.881,210.063,Hydraulics
Australian Grand Prix,rosberg,mercedes,9,6,20,0,26,,,18,18,1:32.259,206.926,Electrical
Australian Grand Prix,maldonado,williams,16,17,21,0,24,,,12,21,1:32.915,205.465,Spun off
Australian Grand Prix,hulkenberg,sauber,11,11,22,0,0,,,,,,,Fuel system
Australian Grand Prix,rosberg,mercedes,6,3,1,25,57,1:32:58.710,5578710,19,1,1:32.478,206.436,Finished
Australian Grand Prix,kevin_magnussen,mclaren,20,4,2,18,57,+26.777,5605487,49,6,1:33.066,205.131,Finished
Australian Grand Prix,button,mclaren,22,10,3,15,57,+30.027,5608737,39,5,1:32.917,205.460,Finished
Australian Grand Prix,alonso,ferrari,14,5,4,12,57,+35.284,5613994,57,7,1:33.186,204.867,Finished
Australian Grand Prix,bottas,williams,77,15,5,10,57,+47.639,5626349,56,3,1:32.616,206.128,Finished
